Country_Code,Total
AFG,4.04
ALB,5.55
ARE,7.144
ARG,6.562
ARM,4.316
AUS,7.35
AUT,7.369
AZE,4.604
BDI,3.706
BEL,6.976
BEN,3.528
BFA,4.259
BGD,4.804
BGR,3.981
BHR,5.312
BIH,5.857
BLR,5.504
BOL,5.857
BRA,6.849
BTN,6.271
BWA,3.97
CAN,7.477
CHE,7.65
CHL,6.587
CHN,6.221
CMR,4.42
COD,4.578
COL,6.416
COM,3.851
CRI,7.257
CYP,5.81
CZE,5.463
DEU,6.672
DNK,7.693
DOM,4.963
DZA,5.422
ECU,5.865
EGY,4.273
ESP,6.322
EST,5.426
ETH,4.561
FIN,7.389
FRA,6.764
GAB,4.114
GBR,6.883
GEO,4.187
GHA,5.091
GIN,3.847
GRC,5.435
GTM,5.965
HKG,4.978
HND,5.142
HRV,5.661
HTI,4.341
HUN,4.775
IDN,5.348
IND,4.772
IRL,7.076
IRN,4.643
IRQ,4.817
ISL,7.355
ISR,7.301
ITA,6.021
JAM,5.374
JOR,5.414
JPN,6.064
KAZ,5.671
KEN,4.403
KGZ,5.042
KHM,4.067
KWT,6.515
LAO,4.787
LBN,4.931
LBR,4.196
LBY,5.34
LKA,4.151
LTU,5.426
LUX,7.054
LVA,5.046
MAC,4.978
MAR,4.885
MDA,5.791
MDG,3.966
MEX,7.088
MLI,4.247
MLT,5.964
MMR,4.439
MNE,5.299
MNG,4.834
MRT,4.758
MUS,5.477
MWI,4.113
MYS,5.76
NAM,5
NER,4.152
NGA,5.248
NIC,5.507
NLD,7.512
NOR,7.655
NPL,4.156
NZL,7.22
PAK,5.292
PAN,7.143
PER,5.776
PHL,4.985
PLW,4.7
POL,5.822
PRT,5.101
PRY,5.779
QAT,6.666
ROU,5.033
RUS,5.464
RWA,3.715
SAU,6.48
SEN,3.959
SGP,6.546
SLE,4.318
SLV,5.809
SOM,4.847
SRB,4.813
SSD,4.401
SVK,5.969
SVN,6.06
SWE,7.48
SYR,3.892
TCD,4.056
TGO,2.936
THA,6.371
TJK,4.38
TKM,3.77
TTO,6.519
TUN,4.826
TUR,5.345
TZA,3.77
UGA,4.443
UKR,5.057
URY,6.355
USA,7.082
UZB,5.623
VEN,7.039
VNM,5.533
YEM,4.054
ZAF,4.963
ZMB,5.006
ZWE,4.827
