Country_Code,Total
AFG,3.36
ALB,4.655
ARE,6.573
ARG,6.65
ARM,4.36
AUS,7.313
AUT,7.119
AZE,5.291
BDI,2.905
BEL,6.929
BEN,3.484
BFA,3.739
BGD,4.643
BGR,4.217
BHR,6.218
BIH,5.163
BLR,5.802
BOL,5.822
BRA,6.952
BTN,5.196
BWA,3.974
CAN,7.404
CHE,7.509
CHL,6.705
CHN,5.245
CMR,4.513
COD,4.272
COL,6.481
COM,3.956
CRI,7.087
CYP,5.771
CZE,6.596
DEU,6.994
DNK,7.526
DOM,5.155
DZA,6.355
ECU,5.976
EGY,4.362
ESP,6.361
EST,5.517
ETH,4.508
FIN,7.413
FRA,6.478
GAB,4.121
GBR,6.725
GEO,4.252
GHA,4.276
GIN,3.607
GRC,5.033
GTM,6.324
HKG,5.458
HND,4.871
HRV,5.488
HTI,4.028
HUN,5.145
IDN,5.314
IND,4.404
IRL,6.907
IRN,4.813
IRQ,4.575
ISL,7.501
ISR,7.267
ITA,5.977
JAM,5.51
JOR,5.303
JPN,5.921
KAZ,5.919
KEN,4.356
KGZ,5.185
KHM,3.907
KWT,6.239
LAO,4.876
LBN,5.129
LBR,3.622
LBY,5.615
LKA,4.415
LTU,5.813
LUX,6.871
LVA,5.56
MAC,5.245
MAR,5.151
MDA,5.897
MDG,3.695
MEX,6.778
MLI,4.073
MLT,6.488
MMR,4.395
MNE,5.161
MNG,4.907
MRT,4.201
MUS,5.648
MWI,4.156
MYS,6.005
NAM,4.574
NER,4.875
NGA,4.875
NIC,5.992
NLD,7.339
NOR,7.498
NPL,4.793
NZL,7.334
PAK,5.132
PAN,6.701
PER,5.743
PHL,5.279
PLW,4.754
POL,5.835
PRT,5.123
PRY,5.538
QAT,6.375
ROU,5.528
RUS,5.856
RWA,3.515
SAU,6.379
SEN,4.219
SGP,6.739
SLE,4.635
SLV,6.068
SOM,5.44
SRB,5.177
SSD,4.139
SVK,6.078
SVN,5.768
SWE,7.291
SYR,3.069
TCD,3.763
TGO,3.303
THA,6.474
TJK,4.996
TKM,5.658
TTO,6.168
TUN,5.045
TUR,5.389
TZA,3.666
UGA,3.739
UKR,4.324
URY,6.545
USA,7.104
UZB,5.987
VEN,6.084
VNM,5.061
YEM,3.724
ZAF,4.459
ZMB,4.795
ZWE,4.193
