Country_Code,EG.ELC.ACCS.ZS,EG.ELC.ACCS.UR.ZS,NY.ADJ.DMIN.CD,SP.DYN.CBRT.IN,ER.FSH.CAPT.MT,SP.DYN.CDRT.IN,SP.DYN.TFRT.IN,SM.POP.TOTL,SM.POP.TOTL.ZS,SH.H2O.BASW.ZS,SP.POP.GROW,SP.POP.TOTL,EG.ELC.RNEW.ZS,SP.RUR.TOTL,SP.RUR.TOTL.ZS,ER.FSH.PROD.MT,SP.URB.TOTL.IN.ZS,SP.URB.GROW,NY.GDP.PCAP.CD,SH.XPD.CHEX.GD.ZS,SP.DYN.LE00.IN,SH.TBS.INCD,SH.TBS.DTEC.ZS,SH.TBS.MORT,SP.ADO.TFRT,SH.XPD.CHEX.PC.CD,NY.GNP.PCAP.CD,SH.IMM.IDPT,SH.DTH.IMRT,SH.STA.OWAD.ZS,SP.POP.BRTH.MF,SL.UEM.TOTL.ZS,AG.LND.ARBL.HA.PC,IT.MLT.MAIN.P2,AG.PRD.FOOD.XD,NY.GDP.PETR.RT.ZS,EN.ATM.PM25.MC.ZS,SH.ALC.PCAP.LI
SWE,100,100,968756810,11,151609,9,1,1639771,16,100,0,9519374,59,1368886,14,165366,85,1,57197,10,81,7,87,0,5,6273,58210,98,283,54,1,7,0,43,95,0,3,9
SYR,97,100,2980872,24,5300,5,3,875189,4,96,-2,20420701,9,9484395,46,11500,53,-4,0,3,70,18,80,0,43,66,15340,45,6977,58,1,8,0,20,93,1,100,4
TCD,7,26,316597,45,100000,14,6,516968,3,41,3,12705135,0,9891964,77,100030,22,3,973,3,51,151,55,25,178,34,960,40,46293,21,1,1,0,0,161,24,100,4
TGO,39,76,687371613,36,19320,9,4,276844,3,59,2,6859482,84,4215426,61,19340,38,4,564,6,58,69,60,10,91,34,590,84,13709,25,1,1,0,0,137,0,100,2
THA,99,99,185217898,11,1719628,7,1,3913258,5,97,0,67843979,8,37012283,54,2991728,45,2,5859,3,74,172,52,14,51,206,5520,99,8041,28,1,0,0,9,131,1,100,7
TJK,99,99,100105271,30,714,5,3,275059,3,71,2,7995062,99,5872773,73,988,26,2,954,5,70,108,76,6,38,57,1140,94,8143,42,1,11,0,4,134,0,100,4
TKM,99,99,0,26,15000,7,2,196386,3,92,1,5267839,0,2677379,50,15026,49,2,6675,4,67,70,80,12,26,318,5560,97,6428,48,1,3,0,10,113,12,100,4
TTO,99,100,0,14,12063,9,1,49883,3,96,0,1341588,0,621544,46,12069,53,0,19083,4,70,23,87,1,34,936,16860,92,527,43,1,3,0,21,95,7,100,8
TUN,99,99,184798099,18,107574,6,2,56701,0,93,1,10886668,1,3568868,32,116151,67,1,4137,6,75,37,80,3,7,273,4090,97,2749,59,1,17,0,10,119,5,100,5
TUR,99,99,1495642756,17,432444,5,2,2964916,3,98,1,74569867,27,20898951,28,645249,71,2,11720,4,74,22,87,1,31,524,11880,97,18587,64,1,8,0,18,126,0,100,6
TZA,15,46,1281820054,40,379426,7,5,261222,0,46,3,49082997,32,34606949,70,389343,29,5,831,5,62,378,34,70,122,40,780,92,86933,25,1,3,0,0,147,0,100,4
UGA,16,51,202140,44,407638,9,5,749471,1,37,3,36306796,87,28891496,79,503544,20,6,636,7,58,205,60,19,126,53,610,83,71165,20,1,3,0,0,96,0,100,5
UKR,99,99,1594311756,11,154388,14,1,4834898,10,97,0,45593300,5,14233316,31,178107,68,0,3855,7,70,101,90,16,27,275,3500,76,4503,56,1,7,0,26,127,0,100,5
URY,99,99,54984840,14,76162,9,2,71799,2,98,0,3396777,61,178704,5,76253,94,0,15092,8,76,27,87,1,57,1322,13910,95,419,60,1,6,0,29,121,0,60,7
USA,100,100,15077362795,12,5100858,8,1,46627102,14,99,0,313874218,12,59262591,18,5521244,81,0,51603,16,78,3,87,0,27,8438,52760,94,24170,65,1,8,0,44,107,0,28,8
UZB,99,100,3135841378,21,11052,4,2,1170899,3,91,1,29774500,21,14574618,48,25884,51,1,1740,5,70,89,56,7,17,104,1740,99,18159,45,1,4,0,6,141,2,100,6
VEN,99,100,271746186,20,213294,5,2,1404448,4,97,1,29893080,67,3550401,11,239409,88,1,12755,5,73,27,80,2,87,693,12480,81,8787,61,1,6,0,25,115,17,100,8
VNM,100,99,390055626,17,2487223,5,1,72793,0,88,1,90451881,45,61731600,68,5590574,31,3,1722,6,75,147,77,17,36,108,1530,97,28071,15,1,1,0,10,131,5,100,6
YEM,65,95,0,33,230516,6,4,344131,1,64,2,24909969,0,16700141,67,230616,32,4,1421,5,64,48,82,4,67,73,1240,67,35866,45,1,13,0,4,141,15,100,4
ZAF,85,90,9251636135,22,719236,11,2,3142511,5,83,1,52998213,0,19465184,36,725162,63,2,7478,7,58,892,68,42,51,579,7540,65,42110,51,1,24,0,9,119,0,100,5
ZMB,24,57,2536823741,39,80638,9,5,127915,0,58,3,14699937,99,8767924,59,93626,40,4,1734,3,59,456,61,33,98,68,1670,78,28412,25,1,7,0,0,176,0,100,5
ZWE,36,85,541995256,35,12650,10,3,398866,2,67,2,14710826,60,9880673,67,20740,32,1,1163,6,56,355,68,15,112,65,990,95,25109,36,1,5,0,2,94,0,100,5
