Country_Code,EG.ELC.ACCS.ZS,EG.ELC.ACCS.UR.ZS,NY.ADJ.DMIN.CD,SP.DYN.CBRT.IN,ER.FSH.CAPT.MT,SP.DYN.CDRT.IN,SP.DYN.TFRT.IN,SM.POP.TOTL,SM.POP.TOTL.ZS,SH.H2O.BASW.ZS,SP.POP.GROW,SP.POP.TOTL,EG.ELC.RNEW.ZS,SP.RUR.TOTL,SP.RUR.TOTL.ZS,ER.FSH.PROD.MT,SP.URB.TOTL.IN.ZS,SP.URB.GROW,NY.GDP.PCAP.CD,SH.XPD.CHEX.GD.ZS,SP.DYN.LE00.IN,SH.TBS.INCD,SH.TBS.DTEC.ZS,SH.TBS.MORT,SP.ADO.TFRT,SH.XPD.CHEX.PC.CD,NY.GNP.PCAP.CD,SH.IMM.IDPT,SH.DTH.IMRT,SH.STA.OWAD.ZS,SP.POP.BRTH.MF,SL.UEM.TOTL.ZS,AG.LND.ARBL.HA.PC,IT.MLT.MAIN.P2,AG.PRD.FOOD.XD,NY.GDP.PETR.RT.ZS,EN.ATM.PM25.MC.ZS,SH.ALC.PCAP.LI
AFG,89,98,1098526,34,1000,7,4,382365,1,60,3,32758020,85,24703806,75,2100,24,4,625,9,62,189,51,42,77,60,640,62,63937,21,1,1,0,0,123,0,100,3
ALB,100,100,31203722,11,9052,7,1,57616,1,91,0,2889104,100,1258985,43,11476,56,1,4578,6,77,16,87,0,20,313,4540,98,301,56,1,17,0,8,141,3,100,5
ARE,100,100,0,10,73203,1,1,8095126,88,99,0,9070867,0,1326614,14,73991,85,1,44443,3,76,0,87,0,27,1613,45070,99,672,66,1,2,0,23,83,23,100,8
ARG,99,99,1493601111,17,829935,7,2,2086302,4,99,1,42981515,31,3706296,8,833937,91,1,12245,8,76,25,87,1,63,1086,12260,94,8076,61,1,7,0,22,121,2,98,8
ARM,99,99,209087108,14,4795,9,1,191199,6,98,0,2906220,25,1072046,36,18720,63,0,3994,10,74,57,80,2,25,406,4150,93,543,53,1,17,0,19,141,0,100,4
AUS,100,100,28905921778,13,162075,6,1,6763663,28,99,1,23475686,14,3380029,14,236915,85,1,62403,9,82,6,87,0,14,5637,65060,92,1027,63,1,6,2,39,109,0,27,9
AUT,100,100,21465104,9,350,9,1,1492374,17,100,0,8546356,81,3629979,42,3740,57,1,51717,10,81,7,87,0,7,5386,50370,98,255,53,1,5,0,40,104,0,93,8
AZE,100,100,44023740,17,878,5,1,264241,2,83,1,9535079,5,4345898,45,1183,54,1,7891,5,71,76,80,4,50,440,7700,94,4426,52,1,4,0,18,136,20,100,6
BDI,7,52,10524648,43,16054,11,5,286810,2,55,2,9891790,80,8726933,88,16219,11,5,273,5,56,126,58,21,28,16,260,95,20085,21,1,1,0,0,121,0,100,2
BEL,100,100,0,11,26793,9,1,1387940,12,100,0,11209057,17,242900,2,27007,97,0,47355,10,81,9,87,0,5,4908,46920,99,423,58,1,8,0,40,89,0,94,8
BEN,34,55,439410,37,47572,9,5,245399,2,66,2,10286712,5,5640616,54,48997,45,3,943,3,60,61,61,9,92,34,930,78,25993,28,1,2,0,1,165,0,100,3
BFA,19,58,829933432,39,20700,9,5,704676,3,53,2,17585977,10,12849370,73,21000,26,5,703,5,59,54,59,9,110,39,690,91,38858,21,1,6,0,0,127,0,100,3
BGD,62,90,0,19,1591190,5,2,1422805,0,97,1,159405279,1,105948719,66,3548115,33,3,1084,2,71,221,54,47,86,28,1070,97,98293,18,1,4,0,0,140,0,100,5
BGR,100,100,397018997,9,8688,15,1,102113,1,99,0,7223938,15,1903435,26,19859,73,0,7864,8,74,32,80,1,41,666,7730,88,505,60,1,11,0,25,127,0,99,4
BHR,100,100,0,15,15854,2,2,704137,51,100,1,1336397,0,148140,11,15859,88,1,24983,4,76,16,0,0,13,1100,21010,98,139,64,1,1,0,21,203,4,100,7
BIH,100,100,27465670,9,305,10,1,34803,0,97,-1,3566002,36,1895687,53,3702,46,0,5204,9,76,42,80,3,11,496,5170,86,175,52,1,27,0,23,96,0,100,5
BLR,100,100,0,12,766,12,1,1082905,11,97,0,9474511,0,2208224,23,11424,76,0,8318,5,72,51,80,5,19,447,7600,97,369,58,1,5,0,47,136,0,100,7
BOL,90,99,891758561,23,6990,7,2,142989,1,92,1,10562159,28,3374927,31,8390,68,2,3124,5,68,120,64,12,70,180,2870,85,7797,54,1,2,0,8,142,3,100,7
BRA,99,99,17791930277,14,767026,6,1,713568,0,97,0,204213133,73,29627241,14,1331256,85,1,12026,10,75,43,87,2,64,1301,12020,93,43273,55,1,6,0,21,137,1,77,8
