Country_Code,EG.ELC.ACCS.ZS,EG.ELC.ACCS.UR.ZS,NY.ADJ.DMIN.CD,SP.DYN.CBRT.IN,ER.FSH.CAPT.MT,SP.DYN.CDRT.IN,SP.DYN.TFRT.IN,SM.POP.TOTL,SM.POP.TOTL.ZS,SH.H2O.BASW.ZS,SP.POP.GROW,SP.POP.TOTL,EG.ELC.RNEW.ZS,SP.RUR.TOTL,SP.RUR.TOTL.ZS,ER.FSH.PROD.MT,SP.URB.TOTL.IN.ZS,SP.URB.GROW,NY.GDP.PCAP.CD,SH.XPD.CHEX.GD.ZS,SP.DYN.LE00.IN,SH.TBS.INCD,SH.TBS.DTEC.ZS,SH.TBS.MORT,SP.ADO.TFRT,SH.XPD.CHEX.PC.CD,NY.GNP.PCAP.CD,SH.IMM.IDPT,SH.DTH.IMRT,SH.STA.OWAD.ZS,SP.POP.BRTH.MF,SL.UEM.TOTL.ZS,AG.LND.ARBL.HA.PC,IT.MLT.MAIN.P2,AG.PRD.FOOD.XD,NY.GDP.PETR.RT.ZS,EN.ATM.PM25.MC.ZS,SH.ALC.PCAP.LI
AFG,71,92,810771,33,1000,6,4,382365,1,62,2,33736494,86,25368831,75,2150,24,3,590,10,63,189,56,39,73.1264,60.0888133,610,65,62032,22.3,1.06,1.67900002,0.230166181,0.326056406,119,0.00107623,100,3.520287275
ALB,100,100,16755315,11,7877,7,1,57616,1,91,0,2880703,100,1226200,42,9472,57,1,3952,6,78,16,87,0.29,20.6922,264.4346027,4390,99,289,57,1.078,17.07999992,0.21352426,7.75541228,145.71,1.352398887,100,5.357541604
ARE,100,100,0,9,73000,1,1,8095126,88,99,0,9154302,0,1311445,14,73790,85,1,39122,3,77,0.79,87,0.69,28.0758,1401.974477,43380,99,687,67.2,1.045,1.835999966,0.004817407,24.67305536,98.59,13.12987986,100,8.078664232
ARG,99,99,1278703552,17,814300,7,2,2086302,4,99,1,43417765,28,3689207,8,817962,91,1,13698,8,76,25,87,1.5,63.2644,1298.683163,12510,94,7662,62.3,1.04,7.643000126,0.902856239,23.20046875,129.02,0.74237192,98.02192869,8.187906381
ARM,100,100,213700481,13,8140,9,1,191199,6,98,0,2916950,28,1076792,36,23270,63,0,3617,10,74,50,80,2.3,24.785,366.0492478,4030,94,506,53.9,1.133,18.26099968,0.153139413,18.90214093,150.35,0,100,4.939016487
AUS,100,100,18342650845,12,160495,6,1,6763663,28,99,1,23815995,13,3405449,14,251486,85,1,56644,9,82,6.1,87,0.22,13.6616,4887.794829,60440,93,992,64,1.056,6.056000233,1.936765606,35.71495199,109.72,0.207550584,26.04666675,9.128523848
AUT,100,100,6434844,9,350,9,1,1492374,17,100,1,8642699,76,3654565,42,3853,57,1,44176,10,81,7.5,87,0.74,7.522,4603.02588,47490,93,252,53.9,1.055,5.72300005,0.155749954,41.59514542,98.35,0.032445137,91.47446535,8.853290381
AZE,100,100,47506599,17,568,5,1,264241,2,84,1,9649341,7,4369801,45,1129,54,1,5500,6,71,71,80,5.9,51.7,377.4276412,6550,96,4122,52.9,1.138,4.960000038,0.200811636,18.67460346,145.33,12.0366039,100,6.259853382
BDI,7,49,9717562,42,20120,11,5,286810,2,55,3,10199270,82,8967402,87,21446,12,5,304,4,57,122,55,22,28.0212,14.38674708,260,94,19683,21.6,1.03,1.592000008,0.117655479,0.213485867,110.95,0,100,2.874765484
BEL,100,100,0,10,24721,9,1,1387940,12,100,0,11274196,20,239464,2,24803,97,0,40431,10,80,9.5,87,0.54,5.3384,4092.153436,44180,99,414,59.2,1.05,8.482000351,0.073575091,39.76554624,88.31,0,95.10434538,8.583731831
