Country_Code,EG.ELC.ACCS.ZS,EG.ELC.ACCS.UR.ZS,NY.ADJ.DMIN.CD,SP.DYN.CBRT.IN,ER.FSH.CAPT.MT,SP.DYN.CDRT.IN,SP.DYN.TFRT.IN,SM.POP.TOTL,SM.POP.TOTL.ZS,SH.H2O.BASW.ZS,SP.POP.GROW,SP.POP.TOTL,EG.ELC.RNEW.ZS,SP.RUR.TOTL,SP.RUR.TOTL.ZS,ER.FSH.PROD.MT,SP.URB.TOTL.IN.ZS,SP.URB.GROW,NY.GDP.PCAP.CD,SH.XPD.CHEX.GD.ZS,SP.DYN.LE00.IN,SH.TBS.INCD,SH.TBS.DTEC.ZS,SH.TBS.MORT,SP.ADO.TFRT,SH.XPD.CHEX.PC.CD,NY.GNP.PCAP.CD,SH.IMM.IDPT,SH.DTH.IMRT,SH.STA.OWAD.ZS,SP.POP.BRTH.MF,SL.UEM.TOTL.ZS,AG.LND.ARBL.HA.PC,IT.MLT.MAIN.P2,AG.PRD.FOOD.XD,NY.GDP.PETR.RT.ZS,EN.ATM.PM25.MC.ZS,SH.ALC.PCAP.LI
AFG,84,98,911029,33,1000,6,4,382365,1,59,2,34656032,83,25985093,74,2200,25,3,549,10,63,189,64,33,68.7942,57.24876048,570,65,60333,23,1.06,1.633999944,0.223020339,0.329501081,125.41,0.000824122,100,0.2
ALB,100,100,1442391,11,7885,7,1,57616,1,90,0,2876101,100,1195854,41,8835,58,1,4131,6,78,16,87,0.29,20.6796,271.5430426,4320,98,279,57.7,1.078,15.22000027,0.215673924,8.496597124,150.93,0.853420935,100,7.5
ARE,100,100,0,9,73000,1,1,8095126,88,99,1,9269612,0,1300990,14,74240,85,1,38517,3,77,0.79,87,0.69,28.2274,1323.116803,40950,99,698,67.8,1.045,1.636000037,0.004800632,24.65916589,102.28,10.82788159,100,3.8
ARG,100,100,1346215509,17,755226,7,2,2086302,4,99,0,43847430,30,3671345,8,758899,91,1,12654,7,76,27,87,1.5,63.0272,955.2009489,12150,92,7279,62.7,1.04,8.015999794,0.894009067,23.18231422,129.11,0.552452268,94.13945992,9.8
ARM,100,100,238504558,13,3758,9,1,191199,6,98,0,2924816,27,1079784,36,20139,63,0,3605,9,74,44,80,1.9,23.975,358.841748,3770,94,470,54.4,1.131,17.61700058,0.152624984,18.17632289,135.37,0,100,5.5
AUS,100,100,23138668938,12,174629,6,1,6763663,28,99,1,24190907,13,3435109,14,271477,85,1,49937,9,82,6.6,87,0.22,13.2818,5002.358277,54180,94,960,64.5,1.055,5.710999966,1.903525155,35.14902357,105.58,0.172404208,24.90420852,10.6
AUT,100,100,8526987,10,350,9,1,1492374,17,100,1,8736668,77,3677700,42,3833,57,1,45103,10,81,8.2,87,0.44,7.208,4688.280204,46130,87,250,54.3,1.055,6.013999939,0.153890475,40.94517797,101.29,0.023402388,85.01593469,11.6
AZE,100,100,46387214,16,676,5,1,264241,2,83,1,9757812,6,4388966,44,1316,55,1,3880,6,72,66,80,7.3,52.612,268.1558652,4760,97,3801,53.6,1.132,5,0.2048615,17.48243975,148.08,13.17439241,100,0.8
BDI,7,49,10989636,42,21805,10,5,286810,2,55,3,10524117,87,9220389,87,23135,12,5,281,6,57,118,61,19,27.4016,18.46188216,270,94,19343,22.2,1.03,1.565999985,0.114023818,0.185668783,119.85,0,100,7.5
BEL,100,100,0,10,26970,9,1,1387940,12,100,0,11331422,16,235807,2,27014,97,0,41454,10,81,10,87,0.54,5.1082,4149.385322,42530,98,405,59.5,1.05,7.829999924,0.074959703,38.48308812,84.89,0,91.78911483,12.1
